County,Precinct,Year
013,37-700,2010
013,37-712,2010
013,37-720,2010
013,37-732,2010
013,37-734,2010
016,37-704,2010
016,37-706,2010
016,37-738,2010
016,37-740,2010
020,16-145,2010
020,16-160,2010
020,16-165,2010
020,17-200,2010
020,17-205,2010
020,17-210,2010
020,17-215,2010
020,17-220,2010
020,17-225,2010
020,17-230,2010
020,18-235,2010
020,18-240,2010
020,18-245,2010
020,18-250,2010
020,18-255,2010
020,19-300,2010
020,19-305,2010
020,19-310,2010
020,19-315,2010
020,19-320,2010
020,19-325,2010
020,19-330,2010
020,20-335,2010
020,20-340,2010
020,20-345,2010
020,20-350,2010
020,20-355,2010
020,21-400,2010
020,21-405,2010
020,21-410,2010
020,21-415,2010
020,21-420,2010
020,21-425,2010
020,22-430,2010
020,22-435,2010
020,22-440,2010
020,22-445,2010
020,22-450,2010
020,22-455,2010
020,22-460,2010
020,22-465,2010
020,23-500,2010
020,23-505,2010
020,23-510,2010
020,23-515,2010
020,23-520,2010
020,23-525,2010
020,23-530,2010
020,23-535,2010
020,23-540,2010
020,24-545,2010
020,24-550,2010
020,24-555,2010
020,24-560,2010
020,24-565,2010
020,24-570,2010
020,24-575,2010
020,25-600,2010
020,25-605,2010
020,25-610,2010
020,25-615,2010
020,25-620,2010
020,25-625,2010
020,25-630,2010
020,25-635,2010
020,25-640,2010
020,26-645,2010
020,26-650,2010
020,26-655,2010
020,26-660,2010
020,26-665,2010
020,26-670,2010
020,26-675,2010
020,26-680,2010
020,26-685,2010
020,27-700,2010
020,27-705,2010
020,27-710,2010
020,27-715,2010
020,27-720,2010
020,27-725,2010
020,28-730,2010
020,28-735,2010
020,28-740,2010
020,28-745,2010
020,28-750,2010
020,28-755,2010
020,29-800,2010
020,29-805,2010
020,29-810,2010
020,29-815,2010
020,29-820,2010
020,29-825,2010
020,29-830,2010
020,30-835,2010
020,30-840,2010
020,30-845,2010
020,30-850,2010
020,30-855,2010
020,30-860,2010
020,30-865,2010
020,31-900,2010
020,31-905,2010
020,31-910,2010
020,31-915,2010
020,31-920,2010
020,31-925,2010
020,31-930,2010
020,31-935,2010
020,32-940,2010
020,32-945,2010
020,32-950,2010
020,32-955,2010
020,32-960,2010
020,32-965,2010
020,32-970,2010
020,32-980,2010
020,32-985,2010
020,32-990,2010
050,06-510,2010
050,06-540,2010
050,06-545,2010
050,06-610,2010
050,06-665,2010
050,38-800,2010
050,38-802,2010
050,38-804,2010
050,38-806,2010
050,38-808,2010
050,38-810,2010
050,38-812,2010
050,38-814,2010
050,38-816,2010
050,38-818,2010
050,38-820,2010
050,38-822,2010
050,38-824,2010
050,38-826,2010
050,38-828,2010
050,38-830,2010
050,38-832,2010
050,38-834,2010
050,38-836,2010
050,38-838,2010
050,38-840,2010
050,38-842,2010
050,38-844,2010
050,38-846,2010
050,38-848,2010
050,38-850,2010
050,38-852,2010
060,37-722,2010
060,37-728,2010
060,37-736,2010
068,08-100,2010
068,08-110,2010
068,08-120,2010
068,08-125,2010
068,08-136,2010
070,37-702,2010
070,37-710,2010
070,37-714,2010
070,37-718,2010
070,37-724,2010
070,37-726,2010
070,37-730,2010
070,37-742,2010
090,07-210,2010
090,07-225,2010
090,07-230,2010
090,07-235,2010
090,07-240,2010
090,07-245,2010
090,07-250,2010
090,07-255,2010
090,07-260,2010
090,08-115,2010
090,08-130,2010
090,08-132,2010
090,08-134,2010
090,08-138,2010
090,08-140,2010
090,08-143,2010
090,08-145,2010
090,09-305,2010
090,09-310,2010
090,09-320,2010
090,09-330,2010
090,09-335,2010
090,09-340,2010
090,09-345,2010
090,09-350,2010
090,09-353,2010
090,10-325,2010
090,10-355,2010
090,10-360,2010
090,10-365,2010
090,10-367,2010
090,11-400,2010
090,11-405,2010
090,11-410,2010
090,11-415,2010
090,11-420,2010
090,11-425,2010
090,11-430,2010
090,11-435,2010
090,12-025,2010
090,12-035,2010
100,05-510,2010
100,05-512,2010
105,02-285,2010
105,05-500,2010
105,05-506,2010
105,05-514,2010
105,05-535,2010
105,05-565,2010
110,03-300,2010
110,03-310,2010
110,03-320,2010
110,03-330,2010
110,03-340,2010
110,03-350,2010
110,03-360,2010
110,03-370,2010
110,03-380,2010
110,03-390,2010
110,04-410,2010
110,04-420,2010
110,04-430,2010
110,04-440,2010
110,04-450,2010
110,04-460,2010
122,06-695,2010
122,32-975,2010
122,33-700,2010
122,33-710,2010
122,33-720,2010
122,33-730,2010
122,33-740,2010
122,33-750,2010
122,34-810,2010
122,34-820,2010
122,34-830,2010
122,34-840,2010
122,34-850,2010
122,34-870,2010
122,34-880,2010
122,35-010,2010
122,35-020,2010
122,35-030,2010
122,35-040,2010
122,35-050,2010
122,35-060,2010
122,35-070,2010
122,35-080,2010
122,35-090,2010
122,35-095,2010
122,35-098,2010
130,01-110,2010
130,01-120,2010
130,01-130,2010
130,01-140,2010
130,01-150,2010
130,01-160,2010
130,01-170,2010
130,01-180,2010
130,05-500,2010
130,05-540,2010
150,36-605,2010
150,36-608,2010
150,36-615,2010
150,36-618,2010
150,36-620,2010
150,36-622,2010
150,36-625,2010
150,36-635,2010
150,36-645,2010
164,36-655,2010
164,36-665,2010
164,36-676,2010
164,36-685,2010
164,36-696,2010
164,37-708,2010
164,37-716,2010
164,37-732,2010
170,12-030,2010
170,12-043,2010
170,12-047,2010
170,13-005,2010
170,13-010,2010
170,13-015,2010
170,13-020,2010
170,13-025,2010
170,13-027,2010
170,13-033,2010
170,13-035,2010
170,13-040,2010
170,13-045,2010
170,14-050,2010
170,14-055,2010
170,14-060,2010
170,14-065,2010
170,14-070,2010
170,14-075,2010
170,14-080,2010
170,15-100,2010
170,15-103,2010
170,15-105,2010
170,15-110,2010
170,15-115,2010
170,15-120,2010
170,15-125,2010
170,15-130,2010
170,15-135,2010
170,16-140,2010
170,16-150,2010
170,16-155,2010
170,16-170,2010
170,16-175,2010
180,39-902,2010
180,39-906,2010
180,39-908,2010
180,39-912,2010
180,39-914,2010
180,39-920,2010
180,39-924,2010
180,39-926,2010
180,39-934,2010
180,39-938,2010
180,39-942,2010
180,39-944,2010
180,39-946,2010
180,39-948,2010
180,39-950,2010
180,39-952,2010
180,40-040,2010
185,40-004,2010
185,40-007,2010
185,40-008,2010
185,40-010,2010
185,40-016,2010
185,40-030,2010
185,40-032,2010
185,40-034,2010
185,40-044,2010
188,40-002,2010
188,40-012,2010
188,40-014,2010
188,40-018,2010
188,40-020,2010
188,40-022,2010
188,40-024,2010
188,40-026,2010
188,40-028,2010
188,40-038,2010
188,40-042,2010
195,02-250,2010
195,02-295,2010
195,05-500,2010
195,05-518,2010
198,01-180,2010
198,01-185,2010
198,05-500,2010
198,05-504,2010
198,05-516,2010
198,05-525,2010
198,05-530,2010
198,05-540,2010
220,02-210,2010
220,02-220,2010
220,02-230,2010
220,02-240,2010
230,05-550,2010
240,06-533,2010
240,06-546,2010
240,06-547,2010
240,06-550,2010
240,06-613,2010
240,06-627,2010
240,06-683,2010
240,06-687,2010
240,06-688,2010
240,12-010,2010
240,12-020,2010
261,05-502,2010
261,05-556,2010
261,06-537,2010
261,06-543,2010
261,06-557,2010
261,06-593,2010
261,06-613,2010
261,06-627,2010
261,06-688,2010
261,12-031,2010
261,12-050,2010
261,12-055,2010
261,12-060,2010
261,32-995,2010
270,06-510,2010
270,06-607,2010
270,06-655,2010
270,39-900,2010
270,39-904,2010
270,39-910,2010
270,39-916,2010
270,39-918,2010
270,39-922,2010
270,39-928,2010
270,39-930,2010
270,39-932,2010
270,39-936,2010
270,39-940,2010
275,01-180,2010
275,02-260,2010
275,05-500,2010
275,05-530,2010
282,05-556,2010
282,05-570,2010
290,06-505,2010
290,06-515,2010
290,06-520,2010
290,06-525,2010
290,06-530,2010
290,06-533,2010
290,06-542,2010
290,06-550,2010
290,06-555,2010
290,06-560,2010
290,06-565,2010
290,06-570,2010
290,06-575,2010
290,06-580,2010
290,06-590,2010
290,06-595,2010
290,06-605,2010
290,06-610,2010
290,06-615,2010
290,06-620,2010
290,06-625,2010
290,06-630,2010
290,06-650,2010
290,06-660,2010
290,06-675,2010
290,06-680,2010
290,06-685,2010
290,06-700,2010
290,08-120,2010
170,11-075,2013
170,12-220,2013
170,10-055,2013
020,15-300,2013
020,28-110,2013
020,16-335,2013
020,17-400,2013
020,18-435,2013
020,19-500,2013
020,20-530,2013
020,21-600,2013
020,22-640,2013
020,23-735,2013
020,24-700,2013
020,25-840,2013
020,26-800,2013
020,27-900,2013
020,28-105,2013
170,10-020,2013
170,10-025,2013
170,10-005,2013
020,13-245,2013
020,13-260,2013
020,13-240,2013
020,13-235,2013
020,12-233,2013
020,12-230,2013
020,12-225,2013
020,13-250,2013
020,13-255,2013
020,15-320,2013
020,15-310,2013
020,15-315,2013
020,15-305,2013
020,16-330,2013
020,16-355,2013
020,16-325,2013
020,16-345,2013
020,16-340,2013
020,16-350,2013
020,17-405,2013
020,17-425,2013
020,17-410,2013
020,17-415,2013
020,17-420,2013
020,17-430,2013
020,18-440,2013
020,18-445,2013
020,18-450,2013
020,18-455,2013
020,18-460,2013
020,18-465,2013
020,18-470,2013
020,18-475,2013
020,18-480,2013
020,19-505,2013
020,19-510,2013
020,19-515,2013
020,19-520,2013
020,19-525,2013
020,20-535,2013
020,20-540,2013
020,20-545,2013
020,20-550,2013
020,20-555,2013
020,20-560,2013
020,20-565,2013
020,20-570,2013
020,21-605,2013
020,21-610,2013
020,21-615,2013
020,21-620,2013
020,21-625,2013
020,21-630,2013
020,21-635,2013
020,22-645,2013
020,22-650,2013
020,22-655,2013
020,22-660,2013
020,22-665,2013
020,22-670,2013
020,23-740,2013
020,23-745,2013
020,23-750,2013
020,23-755,2013
020,23-760,2013
020,23-765,2013
020,23-770,2013
020,24-705,2013
020,24-710,2013
020,24-715,2013
020,24-720,2013
020,24-725,2013
020,24-730,2013
020,25-845,2013
020,25-850,2013
020,25-855,2013
020,25-860,2013
020,25-865,2013
020,25-870,2013
020,26-805,2013
020,26-810,2013
020,26-815,2013
020,26-820,2013
020,26-825,2013
020,26-830,2013
020,26-835,2013
020,27-905,2013
020,27-910,2013
020,27-915,2013
020,27-920,2013
020,27-925,2013
020,27-930,2013
020,27-935,2013
020,28-115,2013
020,28-120,2013
020,28-130,2013
020,28-135,2013
020,28-145,2013
020,14-970,2013
020,14-965,2013
020,14-960,2013
020,14-950,2013
020,14-940,2013
020,14-955,2013
020,14-945,2013
020,28-125,2013
020,28-140,2013
170,10-045,2013
170,10-030,2013
170,10-035,2013
170,10-040,2013
170,11-055,2013
170,11-070,2013
170,11-090,2013
170,07-100,2013
170,07-105,2013
170,08-135,2013
170,07-110,2013
170,07-115,2013
170,07-120,2013
170,07-125,2013
170,07-130,2013
170,10-050,2013
170,11-085,2013
170,08-145,2013
170,08-155,2013
170,08-140,2013
170,08-150,2013
170,10-015,2013
170,10-010,2013
170,11-060,2013
170,11-065,2013
170,11-095,2013
170,12-210,2013
170,12-200,2013
170,12-205,2013
170,11-099,2013
170,08-130,2013
122,29-100,2013
122,29-115,2013
122,29-130,2013
122,29-140,2013
122,29-170,2013
122,29-180,2013
122,29-190,2013
122,30-200,2013
122,30-210,2013
122,30-220,2013
122,30-250,2013
122,31-300,2013
122,31-310,2013
122,31-320,2013
122,31-340,2013
122,31-350,2013
122,31-360,2013
122,31-370,2013
122,31-380,2013
122,31-390,2013
150,32-815,2013
150,32-835,2013
150,32-840,2013
150,32-845,2013
122,32-847,2013
261,32-850,2013
122,32-855,2013
110,33-510,2013
110,33-525,2013
105,33-530,2013
100,33-545,2013
110,34-410,2013
110,34-460,2013
105,35-700,2013
198,35-705,2013
105,35-720,2013
198,35-730,2013
198,35-735,2013
198,35-740,2013
198,35-745,2013
195,35-755,2013
198,35-760,2013
220,35-765,2013
220,35-770,2013
105,35-775,2013
198,35-780,2013
198,36-675,2013
198,36-680,2013
122,29-110,2013
122,29-120,2013
122,29-150,2013
122,29-160,2013
122,30-230,2013
122,30-240,2013
150,32-800,2013
261,32-805,2013
150,32-810,2013
150,32-820,2013
150,32-825,2013
150,32-830,2013
282,32-860,2013
110,33-500,2013
105,33-505,2013
110,33-515,2013
110,33-520,2013
100,33-550,2013
105,33-555,2013
110,34-400,2013
110,34-420,2013
110,34-430,2013
110,34-440,2013
110,34-450,2013
105,35-750,2013
130,36-600,2013
130,36-610,2013
130,36-620,2013
130,36-640,2013
130,36-650,2013
130,36-660,2013
130,36-670,2013
230,33-540,2013
275,36-690,2013
090,01-446,2013
090,01-465,2013
090,01-470,2013
090,01-475,2013
090,01-480,2013
090,01-485,2013
090,01-490,2013
090,01-495,2013
090,02-345,2013
090,02-355,2013
090,02-365,2013
090,02-375,2013
090,03-130,2013
090,03-135,2013
090,03-165,2013
090,03-183,2013
090,04-230,2013
090,04-240,2013
090,04-250,2013
090,04-260,2013
090,04-265,2013
090,04-270,2013
090,04-280,2013
090,05-580,2013
090,05-582,2013
090,05-586,2013
090,05-587,2013
090,05-588,2013
090,05-590,2013
090,05-592,2013
090,05-594,2013
090,05-596,2013
290,06-007,2013
068,06-012,2013
290,06-015,2013
068,06-024,2013
261,06-025,2013
068,06-026,2013
240,06-027,2013
261,06-035,2013
068,06-040,2013
261,06-047,2013
290,06-050,2013
240,06-053,2013
290,06-054,2013
290,06-070,2013
290,06-080,2013
290,06-095,2013
090,06-145,2013
090,06-150,2013
090,06-155,2013
090,06-160,2013
090,06-170,2013
090,06-180,2013
240,09-600,2013
170,09-622,2013
170,09-628,2013
261,09-632,2013
170,09-640,2013
170,09-645,2013
261,09-650,2013
261,09-660,2013
261,09-665,2013
090,01-455,2013
090,03-175,2013
068,06-005,2013
290,06-010,2013
261,06-020,2013
290,06-023,2013
240,06-030,2013
290,06-033,2013
290,06-056,2013
240,06-060,2013
240,06-075,2013
240,06-085,2013
240,06-090,2013
240,09-608,2013
261,09-655,2013
290,37-300,2013
290,37-302,2013
290,37-310,2013
290,37-312,2013
016,37-704,2013
016,37-706,2013
070,37-710,2013
070,37-714,2013
070,37-718,2013
070,37-732,2013
050,37-746,2013
070,37-754,2013
050,38-800,2013
050,38-806,2013
050,38-812,2013
050,38-816,2013
050,38-818,2013
050,38-822,2013
050,38-828,2013
158,38-834,2013
050,38-840,2013
158,38-850,2013
290,39-314,2013
290,39-316,2013
290,39-318,2013
290,39-322,2013
290,39-324,2013
158,39-922,2013
158,39-930,2013
158,39-940,2013
290,39-942,2013
185,40-016,2013
290,40-326,2013
290,40-328,2013
290,37-304,2013
290,37-306,2013
290,37-308,2013
013,37-700,2013
070,37-702,2013
164,37-708,2013
013,37-712,2013
164,37-716,2013
013,37-720,2013
060,37-722,2013
070,37-724,2013
164,37-726,2013
164,37-728,2013
164,37-730,2013
060,37-734,2013
070,37-736,2013
164,37-738,2013
164,37-740,2013
164,37-742,2013
013,37-744,2013
060,37-748,2013
016,37-750,2013
016,37-752,2013
050,38-802,2013
050,38-804,2013
050,38-808,2013
050,38-810,2013
050,38-814,2013
050,38-820,2013
050,38-824,2013
050,38-826,2013
050,38-830,2013
050,38-832,2013
050,38-836,2013
050,38-838,2013
050,38-842,2013
050,38-844,2013
050,38-846,2013
050,38-848,2013
050,38-852,2013
050,38-854,2013
050,38-856,2013
050,38-858,2013
050,38-860,2013
290,39-320,2013
158,39-900,2013
180,39-902,2013
158,39-904,2013
180,39-906,2013
180,39-908,2013
158,39-910,2013
180,39-912,2013
180,39-914,2013
158,39-916,2013
158,39-918,2013
180,39-920,2013
180,39-924,2013
180,39-926,2013
158,39-928,2013
180,39-932,2013
158,39-934,2013
180,39-936,2013
180,39-938,2013
180,39-944,2013
180,39-946,2013
180,39-948,2013
180,39-950,2013
180,39-952,2013
188,40-002,2013
185,40-004,2013
185,40-006,2013
185,40-008,2013
185,40-010,2013
188,40-012,2013
188,40-014,2013
188,40-018,2013
188,40-020,2013
188,40-022,2013
188,40-024,2013
188,40-026,2013
188,40-028,2013
185,40-030,2013
185,40-032,2013
185,40-034,2013
188,40-036,2013
188,40-038,2013
185,40-040,2013
290,40-330,2013
016,37-702,2012
110,32-510,2012
105,34-700,2012
198,34-730,2012
110,32-500,2012
290,39-005,2012
290,39-012,2012
290,39-033,2012
290,39-095,2012
188,40-002,2012
188,40-018,2012
188,40-022,2012
188,40-024,2012
188,40-026,2012
188,40-036,2012
188,40-038,2012
180,39-400,2012
180,39-465,2012
180,39-475,2012
016,37-704,2012
050,37-724,2012
016,37-732,2012
016,37-734,2012
180,39-440,2012
180,39-415,2012
180,39-405,2012
170,07-040,2012
122,28-130,2012
122,30-320,2012
122,30-330,2012
122,30-340,2012
122,30-395,2012
150,35-845,2012
122,28-150,2012
122,28-160,2012
068,38-815,2012
068,38-820,2012
290,38-845,2012
290,38-890,2012
290,39-070,2012
122,36-084,2012
150,35-815,2012
290,38-833,2012
290,39-045,2012
290,39-043,2012
290,39-050,2012
180,39-425,2012
050,36-008,2012
070,36-048,2012
290,36-070,2012
070,37-712,2012
050,37-716,2012
070,37-736,2012
050,36-004,2012
070,36-006,2012
060,36-028,2012
164,36-044,2012
060,36-050,2012
060,36-074,2012
164,37-710,2012
050,37-720,2012
013,37-730,2012
013,37-714,2012
013,37-722,2012
013,37-700,2012
158,38-920,2012
158,38-904,2012
158,38-910,2012
158,38-918,2012
158,38-922,2012
158,38-940,2012
180,39-480,2012
050,36-014,2012
050,36-026,2012
050,36-030,2012
050,36-038,2012
050,36-058,2012
188,40-014,2012
158,38-916,2012
158,38-936,2012
050,36-060,2012
050,36-076,2012
050,36-082,2012
158,38-900,2012
158,38-928,2012
180,39-430,2012
180,39-435,2012
180,39-450,2012
050,36-002,2012
050,36-012,2012
050,36-036,2012
050,36-052,2012
158,36-068,2012
050,36-078,2012
050,37-706,2012
050,37-728,2012
050,36-080,2012
050,36-034,2012
050,36-054,2012
050,37-708,2012
158,38-930,2012
050,36-064,2012
050,36-086,2012
050,36-046,2012
290,36-024,2012
290,36-010,2012
180,39-420,2012
180,39-445,2012
180,39-455,2012
188,40-012,2012
188,40-028,2012
180,39-410,2012
180,39-460,2012
180,39-470,2012
164,37-718,2012
164,37-726,2012
150,35-835,2012
150,35-800,2012
150,35-810,2012
150,35-840,2012
150,35-830,2012
150,35-820,2012
150,35-825,2012
290,38-870,2012
290,38-893,2012
290,39-037,2012
290,38-853,2012
164,36-042,2012
164,36-062,2012
050,36-072,2012
070,36-022,2012
050,36-018,2012
070,36-032,2012
070,36-056,2012
070,36-020,2012
050,36-016,2012
290,39-060,2012
164,36-066,2012
164,36-616,2012
122,30-300,2012
122,30-370,2012
122,30-390,2012
122,30-310,2012
122,30-360,2012
122,30-350,2012
122,29-220,2012
122,30-380,2012
122,29-210,2012
122,29-200,2012
122,29-230,2012
122,29-240,2012
122,29-250,2012
290,38-865,2012
290,39-040,2012
100,32-505,2012
105,34-715,2012
261,35-850,2012
110,31-420,2012
290,39-015,2012
261,39-025,2012
261,39-020,2012
240,39-030,2012
240,39-085,2012
240,39-090,2012
170,07-035,2012
090,01-145,2012
090,01-195,2012
090,02-245,2012
090,02-275,2012
090,05-582,2012
090,05-590,2012
240,06-600,2012
261,06-632,2012
170,06-640,2012
261,06-660,2012
261,39-035,2012
240,39-053,2012
290,39-010,2012
170,11-215,2012
020,27-135,2012
020,11-225,2012
122,28-190,2012
170,11-220,2012
122,28-100,2012
122,28-120,2012
122,28-140,2012
170,06-645,2012
122,28-110,2012
122,28-180,2012
122,28-170,2012
020,19-605,2012
020,19-615,2012
020,18-530,2012
170,07-045,2012
020,18-540,2012
020,19-635,2012
020,19-600,2012
020,19-625,2012
020,19-620,2012
020,20-665,2012
020,20-650,2012
020,20-655,2012
020,20-660,2012
020,21-730,2012
020,21-710,2012
170,10-155,2012
170,07-030,2012
170,10-150,2012
170,06-622,2012
020,20-645,2012
020,20-670,2012
020,11-230,2012
170,09-125,2012
020,12-245,2012
020,13-300,2012
020,12-240,2012
020,12-235,2012
020,12-255,2012
020,12-250,2012
020,26-965,2012
020,26-970,2012
020,27-130,2012
170,11-200,2012
170,09-110,2012
170,07-015,2012
020,25-935,2012
020,21-725,2012
020,27-125,2012
020,27-110,2012
020,27-140,2012
020,13-305,2012
020,15-425,2012
020,17-500,2012
020,13-315,2012
020,14-355,2012
020,14-330,2012
020,17-510,2012
020,17-505,2012
020,17-520,2012
020,17-515,2012
020,17-525,2012
020,18-545,2012
020,18-570,2012
020,18-535,2012
020,18-560,2012
020,18-555,2012
020,15-405,2012
020,15-415,2012
020,24-870,2012
020,24-855,2012
020,24-845,2012
020,24-850,2012
020,23-830,2012
020,23-810,2012
020,27-115,2012
020,21-720,2012
020,16-470,2012
020,16-475,2012
020,20-640,2012
020,24-860,2012
020,22-745,2012
020,22-750,2012
020,22-760,2012
020,22-765,2012
020,22-770,2012
020,21-715,2012
020,16-435,2012
020,16-445,2012
020,16-440,2012
020,19-610,2012
020,22-735,2012
020,22-740,2012
020,19-630,2012
020,22-755,2012
020,18-565,2012
020,16-460,2012
020,16-455,2012
020,16-465,2012
020,16-450,2012
020,23-825,2012
020,24-865,2012
020,21-705,2012
020,21-700,2012
020,23-800,2012
020,23-815,2012
020,23-835,2012
020,27-105,2012
020,15-420,2012
020,24-840,2012
020,16-480,2012
020,15-400,2012
020,18-550,2012
020,25-900,2012
020,25-930,2012
020,23-820,2012
020,27-120,2012
020,23-805,2012
020,14-325,2012
020,14-340,2012
020,15-410,2012
020,15-430,2012
020,14-345,2012
020,14-350,2012
020,27-145,2012
020,25-910,2012
020,25-915,2012
020,25-920,2012
020,25-925,2012
020,25-905,2012
020,13-320,2012
020,14-335,2012
020,13-310,2012
020,26-940,2012
020,26-945,2012
020,26-955,2012
020,26-960,2012
020,26-950,2012
170,07-020,2012
170,09-120,2012
170,10-130,2012
170,07-025,2012
170,10-135,2012
170,07-010,2012
170,10-140,2012
170,10-145,2012
170,11-205,2012
170,11-210,2012
170,08-070,2012
170,08-075,2012
170,08-095,2012
170,08-060,2012
170,08-065,2012
170,09-100,2012
170,09-105,2012
170,08-080,2012
170,08-055,2012
170,06-628,2012
170,08-085,2012
170,08-090,2012
170,09-115,2012
170,07-005,2012
261,35-855,2012
068,38-810,2012
090,38-830,2012
068,38-835,2012
290,38-855,2012
290,38-863,2012
068,38-805,2012
090,05-580,2012
090,05-584,2012
090,05-586,2012
090,05-588,2012
090,05-594,2012
090,05-596,2012
090,38-827,2012
090,38-825,2012
090,38-895,2012
090,01-135,2012
090,01-165,2012
090,01-175,2012
090,01-183,2012
090,02-235,2012
090,02-255,2012
090,02-265,2012
090,03-345,2012
090,03-375,2012
090,02-270,2012
090,03-355,2012
090,04-446,2012
090,04-455,2012
090,04-465,2012
090,04-470,2012
090,04-499,2012
090,04-490,2012
090,04-480,2012
090,04-495,2012
090,05-592,2012
090,04-475,2012
090,04-485,2012
090,03-365,2012
090,03-385,2012
090,01-155,2012
261,39-047,2012
261,35-805,2012
261,06-650,2012
261,06-655,2012
240,39-027,2012
240,06-608,2012
240,39-075,2012
290,39-023,2012
105,34-720,2012
220,34-765,2012
105,34-755,2012
198,34-760,2012
105,32-545,2012
220,34-770,2012
110,31-400,2012
110,31-460,2012
110,32-525,2012
110,32-530,2012
110,32-520,2012
110,31-410,2012
110,31-440,2012
110,31-450,2012
110,31-430,2012
110,32-515,2012
282,35-860,2012
240,39-055,2012
230,32-540,2012
100,34-710,2012
105,34-745,2012
185,40-004,2012
185,40-030,2012
185,40-034,2012
185,40-040,2012
188,40-020,2012
185,40-032,2012
185,40-010,2012
185,40-006,2012
185,40-008,2012
290,39-007,2012
185,40-016,2012
130,33-670,2012
195,32-535,2012
198,33-680,2012
198,34-735,2012
130,33-650,2012
198,34-725,2012
275,33-690,2012
198,33-630,2012
198,34-740,2012
198,34-705,2012
130,33-640,2012
130,33-660,2012
198,34-750,2012
130,33-620,2012
130,33-600,2012
130,33-610,2012
