,Participating State,date,Number of Participating Agencies,Population Covered,Agencies Submitting Incident Reports,Total Number of Incidents Reported
1,Alabama,2004,51,527267.0,3,3
2,Alaska,2004,1,273714.0,1,9
3,Arizona,2004,82,5554597.0,19,224
4,Arkansas,2004,192,1632735.0,50,93
5,California,2004,725,35893799.0,245,1393
6,Colorado,2004,205,4443685.0,26,59
7,Connecticut,2004,100,3503604.0,49,116
8,Delaware,2004,53,830364.0,11,33
9,District of Columbia,2004,2,553523.0,2,49
10,Florida,2004,490,17351455.0,95,274
11,Georgia,2004,77,1576482.0,7,29
12,Idaho,2004,119,1392114.0,12,37
13,Illinois,2004,63,5088478.0,48,187
14,Indiana,2004,137,3017102.0,13,63
15,Iowa,2004,219,2905626.0,17,23
16,Kansas,2004,357,2109590.0,21,49
17,Kentucky,2004,326,3709354.0,32,71
18,Louisiana,2004,148,3499083.0,12,22
19,Maine,2004,147,1317253.0,29,68
20,Maryland,2004,150,5558058.0,32,245
21,Massachusetts,2004,301,5837059.0,90,346
22,Michigan,2004,601,8995290.0,172,556
23,Minnesota,2004,318,5083400.0,63,239
24,Mississippi,2004,68,1012911.0,2,2
25,Missouri,2004,259,3534443.0,29,71
26,Montana,2004,105,926865.0,25,56
27,Nebraska,2004,207,1493580.0,15,62
28,Nevada,2004,35,2334771.0,4,81
29,New Hampshire,2004,140,935961.0,29,48
30,New Jersey,2004,513,8698879.0,249,769
31,New Mexico,2004,49,1172271.0,3,21
32,New York,2004,520,19199225.0,42,386
33,North Carolina,2004,418,8027181.0,35,66
34,North Dakota,2004,69,560073.0,5,8
35,Ohio,2004,410,8991851.0,74,353
36,Oklahoma,2004,297,3523553.0,29,51
37,Oregon,2004,170,3592045.0,23,155
38,Pennsylvania,2004,857,11406091.0,34,105
39,Rhode Island,2004,48,1080632.0,8,29
40,South Carolina,2004,468,4196056.0,51,105
41,South Dakota,2004,155,765756.0,6,7
42,Tennessee,2004,453,5900962.0,68,136
43,Texas,2004,987,22466217.0,84,309
44,Utah,2004,55,1840775.0,16,59
45,Vermont,2004,74,602735.0,12,28
46,Virginia,2004,395,7399760.0,68,307
47,Washington,2004,253,6203788.0,51,175
48,West Virginia,2004,431,1815354.0,12,31
49,Wisconsin,2004,369,5509026.0,19,37
50,Wyoming,2004,42,349046.0,4,4
1,Alabama,2005,32,455247.0,0,0
2,Alaska,2005,1,276109.0,1,4
3,Arizona,2005,78,4202942.0,26,138
4,Arkansas,2005,205,1703545.0,66,134
5,California,2005,725,36132147.0,252,1379
6,Colorado,2005,205,4517158.0,43,125
7,Connecticut,2005,98,3428766.0,45,95
8,Delaware,2005,53,843524.0,11,45
9,District of Columbia,2005,2,550521.0,2,48
10,Florida,2005,492,17744135.0,95,231
11,Georgia,2005,71,1925691.0,4,17
12,Idaho,2005,106,1425914.0,16,33
13,Illinois,2005,66,5047250.0,50,168
14,Indiana,2005,142,3933013.0,18,54
15,Iowa,2005,225,2935183.0,19,37
16,Kansas,2005,349,2048283.0,35,72
17,Kentucky,2005,321,3744693.0,22,44
18,Louisiana,2005,133,3248124.0,10,17
19,Maine,2005,147,1321505.0,27,57
20,Maryland,2005,150,5600388.0,29,195
21,Massachusetts,2005,267,5665124.0,83,371
22,Michigan,2005,597,9997261.0,166,640
23,Minnesota,2005,302,4922821.0,55,206
24,Mississippi,2005,67,866704.0,0,0
25,Missouri,2005,278,3525724.0,25,78
26,Montana,2005,108,935422.0,25,65
27,Nebraska,2005,194,1436768.0,11,71
28,Nevada,2005,35,2414807.0,4,77
29,New Hampshire,2005,140,1019459.0,23,32
30,New Jersey,2005,513,8717925.0,216,738
31,New Mexico,2005,48,1222522.0,3,18
32,New York,2005,302,7869264.0,43,249
33,North Carolina,2005,436,8457849.0,41,89
34,North Dakota,2005,71,568522.0,8,12
35,Ohio,2005,443,8702176.0,60,176
36,Oklahoma,2005,297,3547884.0,33,41
37,Oregon,2005,168,3636515.0,26,137
38,Pennsylvania,2005,916,11564862.0,36,118
39,Rhode Island,2005,48,1076189.0,10,15
40,South Carolina,2005,446,4254373.0,50,98
41,South Dakota,2005,95,533343.0,7,9
42,Tennessee,2005,455,5962959.0,68,128
43,Texas,2005,997,22839807.0,79,264
44,Utah,2005,112,2433318.0,14,44
45,Vermont,2005,75,602314.0,17,32
46,Virginia,2005,395,7517151.0,68,295
47,Washington,2005,252,6281630.0,55,171
48,West Virginia,2005,349,1679815.0,17,47
49,Wisconsin,2005,359,5289551.0,20,46
50,Wyoming,2005,51,380216.0,3,3
1,Alabama,2006,42,693540.0,1,1
2,Alaska,2006,2,284014.0,1,6
3,Arizona,2006,80,5889288.0,24,149
4,Arkansas,2006,257,2739473.0,42,113
5,California,2006,728,36457549.0,250,1297
6,Colorado,2006,220,4724991.0,45,138
7,Connecticut,2006,99,3504130.0,51,131
8,Delaware,2006,53,853476.0,17,48
9,District of Columbia,2006,2,581530.0,2,57
10,Florida,2006,491,18045007.0,91,216
11,Georgia,2006,61,1145950.0,4,13
12,Idaho,2006,105,1460666.0,12,23
13,Illinois,2006,66,5264133.0,49,156
14,Indiana,2006,124,2796935.0,15,39
15,Iowa,2006,223,2929952.0,15,28
16,Kansas,2006,359,2135498.0,49,109
17,Kentucky,2006,320,3731141.0,28,64
18,Louisiana,2006,108,2291563.0,13,22
19,Maine,2006,148,1321574.0,31,59
20,Maryland,2006,153,5615727.0,34,212
21,Massachusetts,2006,328,6040017.0,85,379
22,Michigan,2006,598,9981189.0,185,653
23,Minnesota,2006,289,4306199.0,53,137
24,Mississippi,2006,62,830449.0,0,0
25,Missouri,2006,309,3532150.0,26,78
26,Montana,2006,93,923589.0,14,24
27,Nebraska,2006,197,1472246.0,10,56
28,Nevada,2006,34,2495529.0,11,125
29,New Hampshire,2006,134,987279.0,20,34
30,New Jersey,2006,513,8724560.0,225,759
31,New Mexico,2006,46,1220005.0,5,20
32,New York,2006,277,15094282.0,41,522
33,North Carolina,2006,434,8381485.0,40,100
34,North Dakota,2006,72,570642.0,9,16
35,Ohio,2006,493,8638061.0,87,300
36,Oklahoma,2006,294,3568374.0,28,51
37,Oregon,2006,169,3697193.0,32,141
38,Pennsylvania,2006,954,11740668.0,27,97
39,Rhode Island,2006,47,1067610.0,12,19
40,South Carolina,2006,476,4318330.0,56,110
41,South Dakota,2006,91,599756.0,7,76
42,Tennessee,2006,459,6036872.0,65,202
43,Texas,2006,996,23483201.0,68,245
44,Utah,2006,111,2516523.0,21,35
45,Vermont,2006,78,612273.0,10,21
46,Virginia,2006,399,7621121.0,91,341
47,Washington,2006,253,6393124.0,56,177
48,West Virginia,2006,340,1707846.0,18,34
49,Wisconsin,2006,371,5556506.0,25,84
50,Wyoming,2006,62,503327.0,4,5
1,Alabama,2007,156,2388398.0,5,6
2,Alaska,2007,1,284142.0,1,8
3,Arizona,2007,78,5754940.0,26,161
4,Arkansas,2007,265,2765195.0,27,33
5,California,2007,727,36553215.0,276,1400
6,Colorado,2007,213,4733294.0,48,156
7,Connecticut,2007,101,3502309.0,53,127
8,Delaware,2007,53,853712.0,14,49
9,District of Columbia,2007,2,588292.0,2,41
10,Florida,2007,490,18152012.0,73,166
11,Georgia,2007,18,680591.0,3,13
12,Idaho,2007,108,1497812.0,16,38
13,Illinois,2007,60,4945770.0,45,167
14,Indiana,2007,127,2899537.0,13,40
15,Iowa,2007,226,2951927.0,16,27
16,Kansas,2007,348,2137765.0,45,110
17,Kentucky,2007,324,3841157.0,23,48
18,Louisiana,2007,103,2514916.0,14,31
19,Maine,2007,149,1317207.0,30,72
20,Maryland,2007,156,5618344.0,25,150
21,Massachusetts,2007,337,6272474.0,85,353
22,Michigan,2007,593,9931655.0,185,627
23,Minnesota,2007,321,5196856.0,47,157
24,Mississippi,2007,58,704703.0,0,0
25,Missouri,2007,561,5699738.0,39,114
26,Montana,2007,96,944103.0,11,21
27,Nebraska,2007,162,1267389.0,9,44
28,Nevada,2007,32,2526861.0,6,63
29,New Hampshire,2007,143,1021621.0,25,43
30,New Jersey,2007,512,8684873.0,207,748
31,New Mexico,2007,48,1173881.0,4,14
32,New York,2007,273,15335616.0,29,493
33,North Carolina,2007,369,7421793.0,33,75
34,North Dakota,2007,77,578781.0,10,14
35,Ohio,2007,534,8698569.0,76,312
36,Oklahoma,2007,293,3617316.0,26,30
37,Oregon,2007,239,3743591.0,40,170
38,Pennsylvania,2007,1173,12075298.0,24,83
39,Rhode Island,2007,47,1057832.0,7,47
40,South Carolina,2007,480,4407709.0,55,127
41,South Dakota,2007,105,672329.0,9,37
42,Tennessee,2007,461,6156260.0,58,239
43,Texas,2007,999,23879373.0,60,242
44,Utah,2007,117,2619834.0,28,55
45,Vermont,2007,80,610907.0,11,21
46,Virginia,2007,408,7710349.0,83,323
47,Washington,2007,244,6437315.0,54,195
48,West Virginia,2007,338,1686872.0,21,44
49,Wisconsin,2007,374,5599350.0,21,69
50,Wyoming,2007,62,516189.0,7,21
1,Alabama,2008,163,2802524.0,5,11
2,Alaska,2008,2,286625.0,2,8
3,Arizona,2008,89,6438728.0,26,185
4,Arkansas,2008,260,2767575.0,36,91
5,California,2008,730,36756666.0,269,1381
6,Colorado,2008,210,4803326.0,48,149
7,Connecticut,2008,101,3501252.0,57,164
8,Delaware,2008,54,873092.0,17,58
9,District of Columbia,2008,2,591833.0,2,42
10,Florida,2008,487,18235592.0,72,153
11,Georgia,2008,6,554193.0,2,9
12,Idaho,2008,106,1519264.0,12,30
13,Illinois,2008,308,8048213.0,44,120
14,Indiana,2008,131,3062775.0,17,61
15,Iowa,2008,228,2974039.0,15,33
16,Kansas,2008,351,2311956.0,48,113
17,Kentucky,2008,315,3821826.0,23,64
18,Louisiana,2008,87,2445629.0,10,67
19,Maine,2008,134,1316456.0,28,63
20,Maryland,2008,158,5633597.0,23,100
21,Massachusetts,2008,351,6397091.0,91,333
22,Michigan,2008,590,9754100.0,171,560
23,Minnesota,2008,248,4304347.0,48,164
24,Mississippi,2008,60,752395.0,1,4
25,Missouri,2008,630,5904517.0,32,99
26,Montana,2008,99,957438.0,12,24
27,Nebraska,2008,193,808954.0,8,11
28,Nevada,2008,34,2600167.0,6,94
29,New Hampshire,2008,144,1137387.0,26,44
30,New Jersey,2008,512,8676494.0,202,744
31,New Mexico,2008,49,1186698.0,4,9
32,New York,2008,339,17526925.0,76,570
33,North Carolina,2008,495,9128679.0,46,124
34,North Dakota,2008,80,601003.0,11,16
35,Ohio,2008,545,9071197.0,106,345
36,Oklahoma,2008,303,3642361.0,20,51
37,Oregon,2008,166,3775490.0,37,187
38,Pennsylvania,2008,1241,12275966.0,31,68
39,Rhode Island,2008,48,1050788.0,14,35
40,South Carolina,2008,480,4478308.0,65,153
41,South Dakota,2008,108,687383.0,8,42
42,Tennessee,2008,461,6214418.0,81,255
43,Texas,2008,1000,24305393.0,69,246
44,Utah,2008,117,2693947.0,18,40
45,Vermont,2008,82,606685.0,12,20
46,Virginia,2008,407,7767843.0,75,263
47,Washington,2008,251,6538142.0,61,239
48,West Virginia,2008,294,1636800.0,23,43
49,Wisconsin,2008,379,5627967.0,29,92
50,Wyoming,2008,62,528009.0,6,6
1,Alabama,2009,218,3211336.0,6,9
2,Alaska,2009,2,289884.0,2,9
3,Arizona,2009,93,6506963.0,25,219
4,Arkansas,2009,256,2717288.0,41,74
5,California,2009,734,36961664.0,254,1015
6,Colorado,2009,218,4952740.0,55,208
7,Connecticut,2009,102,3518288.0,48,198
8,Delaware,2009,55,885122.0,9,37
9,District of Columbia,2009,2,599657.0,2,36
10,Florida,2009,487,18445281.0,64,130
11,Georgia,2009,487,7791562.0,5,11
12,Idaho,2009,107,1543741.0,10,35
13,Illinois,2009,359,8493832.0,53,129
14,Indiana,2009,139,3735359.0,17,55
15,Iowa,2009,228,2979710.0,12,18
16,Kansas,2009,352,2195030.0,62,122
17,Kentucky,2009,347,3213237.0,84,150
18,Louisiana,2009,95,2613140.0,9,13
19,Maine,2009,149,1318301.0,24,50
20,Maryland,2009,156,5699478.0,18,102
21,Massachusetts,2009,309,6375433.0,86,322
22,Michigan,2009,604,9837274.0,141,314
23,Minnesota,2009,87,2563655.0,31,153
24,Mississippi,2009,61,827707.0,2,2
25,Missouri,2009,621,5978668.0,36,124
26,Montana,2009,100,968253.0,14,28
27,Nebraska,2009,190,1521548.0,7,78
28,Nevada,2009,31,2279796.0,5,48
29,New Hampshire,2009,151,1160414.0,18,24
30,New Jersey,2009,510,8695567.0,175,549
31,New Mexico,2009,49,1136341.0,4,15
32,New York,2009,515,18703702.0,80,626
33,North Carolina,2009,516,9378135.0,42,103
34,North Dakota,2009,87,614661.0,9,14
35,Ohio,2009,588,9477815.0,105,297
36,Oklahoma,2009,314,3682123.0,27,59
37,Oregon,2009,73,2384990.0,32,130
38,Pennsylvania,2009,1299,12538883.0,22,46
39,Rhode Island,2009,48,1053209.0,13,36
40,South Carolina,2009,475,4554167.0,50,124
41,South Dakota,2009,113,724778.0,11,42
42,Tennessee,2009,462,6296254.0,60,169
43,Texas,2009,1020,24770372.0,64,165
44,Utah,2009,123,2747172.0,24,48
45,Vermont,2009,82,607236.0,15,24
46,Virginia,2009,413,7882590.0,67,150
47,Washington,2009,250,6651663.0,52,208
48,West Virginia,2009,291,1674227.0,17,24
49,Wisconsin,2009,391,5650571.0,21,54
50,Wyoming,2009,63,539500.0,4,8
1,Alabama,2010,331,3762738.0,12,19
2,Alaska,2010,1,290334.0,1,7
3,Arizona,2010,89,6328446.0,22,236
4,Arkansas,2010,254,2752987.0,30,63
5,California,2010,733,37200288.0,249,1092
6,Colorado,2010,217,4908638.0,44,154
7,Connecticut,2010,102,3574097.0,43,147
8,Delaware,2010,56,897934.0,10,20
9,District of Columbia,2010,2,601723.0,1,57
10,Florida,2010,505,18705419.0,65,136
11,Georgia,2010,501,7653795.0,7,17
12,Idaho,2010,104,1554255.0,11,28
13,Illinois,2010,550,10497883.0,44,94
14,Indiana,2010,138,3720793.0,17,94
15,Iowa,2010,221,2968611.0,14,17
16,Kansas,2010,350,2230776.0,23,58
17,Kentucky,2010,360,3202734.0,91,173
18,Louisiana,2010,90,2617664.0,9,13
19,Maine,2010,148,1328361.0,26,61
20,Maryland,2010,157,5773552.0,16,80
21,Massachusetts,2010,313,6296379.0,84,316
22,Michigan,2010,588,9703717.0,137,304
23,Minnesota,2010,92,2698621.0,32,127
24,Mississippi,2010,63,794800.0,1,11
25,Missouri,2010,633,5987789.0,29,142
26,Montana,2010,99,981587.0,14,31
27,Nebraska,2010,187,1534659.0,4,61
28,Nevada,2010,34,2700551.0,6,68
29,New Hampshire,2010,151,1155769.0,22,31
30,New Jersey,2010,509,8790283.0,172,543
31,New Mexico,2010,46,1130803.0,3,24
32,New York,2010,574,19307186.0,97,699
33,North Carolina,2010,519,9534813.0,46,94
34,North Dakota,2010,97,659331.0,7,8
35,Ohio,2010,591,9667899.0,83,247
36,Oklahoma,2010,316,3713732.0,24,49
37,Oregon,2010,216,3286084.0,30,134
38,Pennsylvania,2010,1347,12659293.0,31,57
39,Rhode Island,2010,48,1052567.0,11,20
40,South Carolina,2010,429,4614153.0,47,109
41,South Dakota,2010,112,723676.0,11,51
42,Tennessee,2010,466,6346105.0,58,147
43,Texas,2010,1032,25083730.0,66,174
44,Utah,2010,124,2718676.0,32,63
45,Vermont,2010,83,614990.0,9,17
46,Virginia,2010,413,8001024.0,53,175
47,Washington,2010,250,6717480.0,56,232
48,West Virginia,2010,277,1713013.0,17,33
49,Wisconsin,2010,395,5682402.0,30,93
50,Wyoming,2010,64,559126.0,2,2
1,Alabama,2011,98,2285487.0,50,83
2,Alaska,2011,2,304924.0,1,8
3,Arizona,2011,84,6225041.0,26,192
4,Arkansas,2011,259,2804225.0,10,11
5,California,2011,734,37691912.0,257,1040
6,Colorado,2011,218,4992496.0,57,186
7,Connecticut,2011,102,3580709.0,42,140
8,Delaware,2011,56,907135.0,8,15
9,District of Columbia,2011,2,617996.0,2,83
10,Florida,2011,504,18945433.0,58,123
11,Georgia,2011,521,8600353.0,8,17
12,Idaho,2011,107,1583018.0,12,33
13,Illinois,2011,563,9959109.0,39,69
14,Indiana,2011,137,3701222.0,17,100
15,Iowa,2011,212,2904419.0,12,15
16,Kansas,2011,357,2426569.0,34,67
17,Kentucky,2011,374,3581320.0,86,155
18,Louisiana,2011,82,2448022.0,5,5
19,Maine,2011,149,1328188.0,20,55
20,Maryland,2011,156,5828289.0,19,49
21,Massachusetts,2011,308,6361208.0,80,367
22,Michigan,2011,564,9569653.0,137,346
23,Minnesota,2011,180,3992533.0,44,148
24,Mississippi,2011,54,748806.0,1,1
25,Missouri,2011,633,6001755.0,34,117
26,Montana,2011,99,988577.0,9,23
27,Nebraska,2011,185,1478313.0,7,36
28,Nevada,2011,13,2183002.0,5,59
29,New Hampshire,2011,151,1176668.0,14,22
30,New Jersey,2011,510,8819533.0,162,508
31,New Mexico,2011,40,973183.0,3,28
32,New York,2011,561,19297804.0,87,544
33,North Carolina,2011,516,9655664.0,49,112
34,North Dakota,2011,94,666780.0,8,27
35,Ohio,2011,588,9879527.0,83,228
36,Oklahoma,2011,319,3790684.0,17,29
37,Oregon,2011,75,2437231.0,29,128
38,Pennsylvania,2011,1372,12565359.0,20,53
39,Rhode Island,2011,48,1051302.0,5,20
40,South Carolina,2011,341,4668211.0,65,135
41,South Dakota,2011,110,731246.0,7,21
42,Tennessee,2011,463,6403353.0,62,144
43,Texas,2011,1027,25629269.0,57,152
44,Utah,2011,125,2775105.0,29,68
45,Vermont,2011,84,619283.0,6,7
46,Virginia,2011,408,8087318.0,54,144
48,Washington,2011,246,6822528.0,69,213
49,West Virginia,2011,281,1689892.0,14,18
50,Wisconsin,2011,399,5669896.0,22,76
51,Wyoming,2011,63,561000.0,2,2
1,Alabama,2012,8,141235.0,1,6
2,Alaska,2012,5,315266.0,1,6
3,Arizona,2012,81,5974180.0,22,176
4,Arkansas,2012,265,2748544.0,17,30
5,California,2012,731,37933751.0,247,910
6,Colorado,2012,227,5109141.0,50,189
7,Connecticut,2012,101,3574937.0,48,149
8,Delaware,2012,57,917092.0,5,10
9,District of Columbia,2012,2,632323.0,2,72
10,Florida,2012,505,19224398.0,69,144
11,Georgia,2012,513,7696372.0,5,21
13,Idaho,2012,108,1595241.0,10,35
14,Illinois,2012,711,12297695.0,49,84
15,Indiana,2012,112,2684625.0,8,37
16,Iowa,2012,219,2935796.0,4,8
17,Kansas,2012,350,2258766.0,34,81
18,Kentucky,2012,379,3653352.0,86,194
19,Louisiana,2012,58,2213017.0,3,4
20,Maine,2012,149,1329192.0,20,52
21,Maryland,2012,154,5884563.0,16,35
22,Massachusetts,2012,304,5736749.0,76,157
23,Michigan,2012,592,9666469.0,178,617
24,Minnesota,2012,177,3834480.0,27,72
25,Mississippi,2012,53,707165.0,3,18
26,Missouri,2012,636,6019690.0,29,104
27,Montana,2012,99,995410.0,13,36
28,Nebraska,2012,69,673815.0,5,9
29,Nevada,2012,4,2195232.0,4,91
30,New Hampshire,2012,152,1186056.0,21,29
31,New Mexico,2012,31,223466.0,1,2
32,New York,2012,548,19222847.0,73,715
33,North Carolina,2012,523,9750451.0,44,119
34,North Dakota,2012,96,689607.0,14,41
35,Ohio,2012,594,9841632.0,104,257
36,Oklahoma,2012,243,1363283.0,18,21
37,Oregon,2012,72,2015920.0,24,52
38,Pennsylvania,2012,1382,12635883.0,20,38
39,Rhode Island,2012,47,1049246.0,7,12
40,South Carolina,2012,398,4714086.0,68,148
41,South Dakota,2012,113,756389.0,7,29
42,Tennessee,2012,461,6456188.0,80,317
43,Texas,2012,65,3484920.0,20,52
44,Utah,2012,128,2799874.0,36,102
45,Vermont,2012,87,622979.0,6,12
46,Virginia,2012,420,8185867.0,46,134
48,Washington,2012,247,6890640.0,69,272
49,West Virginia,2012,285,1733977.0,16,27
50,Wisconsin,2012,400,5682618.0,22,68
51,Wyoming,2012,59,555285.0,2,2
1,Alabama,2013,48,1147612.0,4,6
2,Alaska,2013,33,730950.0,1,8
3,Arizona,2013,81,6358545.0,21,155
4,Arkansas,2013,265,2809536.0,20,27
5,California,2013,732,38324460.0,229,843
6,Colorado,2013,226,5163276.0,48,128
7,Connecticut,2013,98,3566367.0,48,145
8,Delaware,2013,58,925749.0,11,12
9,District of Columbia,2013,2,646449.0,2,72
10,Florida,2013,504,19455529.0,41,76
11,Georgia,2013,499,7817674.0,7,57
13,Idaho,2013,108,1611676.0,12,32
14,Illinois,2013,720,12269532.0,38,105
15,Indiana,2013,134,4034953.0,15,75
16,Iowa,2013,222,2958457.0,9,10
17,Kansas,2013,354,2665446.0,30,64
18,Kentucky,2013,385,4334254.0,77,171
19,Louisiana,2013,109,3237092.0,6,22
20,Maine,2013,148,1328302.0,17,25
21,Maryland,2013,154,5928814.0,20,51
22,Massachusetts,2013,330,6496451.0,78,350
23,Michigan,2013,600,9733958.0,141,329
24,Minnesota,2013,257,4904213.0,39,144
25,Mississippi,2013,90,1497332.0,2,4
26,Missouri,2013,621,6040074.0,20,102
27,Montana,2013,98,1000016.0,12,31
28,Nebraska,2013,182,1511235.0,10,36
29,Nevada,2013,5,2229342.0,5,73
30,New Hampshire,2013,151,1178087.0,16,21
31,New Jersey,2013,508,8898292.0,140,414
32,New Mexico,2013,23,888880.0,3,12
33,New York,2013,566,19515678.0,85,615
34,North Carolina,2013,522,9845983.0,48,118
35,North Dakota,2013,105,722021.0,19,51
36,Ohio,2013,644,10376248.0,111,370
37,Oklahoma,2013,328,3850568.0,25,41
38,Oregon,2013,76,2301273.0,18,66
39,Pennsylvania,2013,1375,12657821.0,20,64
40,Rhode Island,2013,48,1051511.0,7,7
41,South Carolina,2013,418,4761406.0,39,51
42,South Dakota,2013,113,767653.0,8,13
43,Tennessee,2013,466,6495978.0,56,196
44,Texas,2013,1000,26304575.0,50,132
45,Utah,2013,131,2883607.0,35,75
46,Vermont,2013,88,623447.0,10,12
47,Virginia,2013,416,8258337.0,54,119
49,Washington,2013,244,6967181.0,80,291
50,West Virginia,2013,263,1670269.0,17,56
51,Wisconsin,2013,402,5691976.0,21,50
52,Wyoming,2013,63,577987.0,1,1
1,Alabama,2014,39,794907.0,4,9
2,Alaska,2014,33,732371.0,1,6
3,Arizona,2014,99,6433584.0,22,265
4,Arkansas,2014,270,2661818.0,5,8
5,California,2014,743,38802500.0,208,759
6,Colorado,2014,231,5268592.0,40,96
7,Connecticut,2014,95,3375662.0,54,123
8,Delaware,2014,60,935614.0,9,13
9,District of Columbia,2014,2,658893.0,2,70
10,Florida,2014,505,19794279.0,37,65
11,Georgia,2014,479,8204655.0,4,41
13,Idaho,2014,112,1634011.0,10,25
14,Illinois,2014,693,12029618.0,48,109
15,Indiana,2014,348,6093574.0,15,50
16,Iowa,2014,221,2974604.0,10,11
17,Kansas,2014,359,2843179.0,37,73
18,Kentucky,2014,399,4386536.0,84,163
19,Louisiana,2014,86,2706155.0,6,9
20,Maine,2014,184,1330089.0,15,28
21,Maryland,2014,154,5976407.0,9,16
22,Massachusetts,2014,315,6485973.0,90,375
23,Michigan,2014,607,9732430.0,119,311
24,Minnesota,2014,292,5287138.0,27,98
25,Mississippi,2014,75,1349655.0,1,1
26,Missouri,2014,630,6061406.0,25,76
27,Montana,2014,98,992702.0,12,30
28,Nebraska,2014,216,1763318.0,7,47
29,Nevada,2014,51,2834483.0,4,24
30,New Hampshire,2014,158,1238190.0,11,14
31,New Jersey,2014,509,8936591.0,126,336
32,New Mexico,2014,7,717010.0,3,13
33,New York,2014,572,19652379.0,59,545
34,North Carolina,2014,524,9942854.0,40,140
35,North Dakota,2014,111,738176.0,16,40
36,Ohio,2014,606,9711237.0,105,403
37,Oklahoma,2014,333,3878051.0,18,33
38,Oregon,2014,92,1526458.0,15,26
39,Pennsylvania,2014,1457,12587318.0,22,50
40,Rhode Island,2014,48,1054130.0,4,4
41,South Carolina,2014,430,4813088.0,32,49
42,South Dakota,2014,121,776484.0,12,18
43,Tennessee,2014,465,6519911.0,53,194
44,Texas,2014,1033,26922758.0,57,145
45,Utah,2014,134,2926391.0,23,50
46,Vermont,2014,91,626306.0,10,15
47,Virginia,2014,414,8324943.0,50,118
49,Washington,2014,262,7051748.0,67,308
50,West Virginia,2014,269,1648198.0,16,26
51,Wisconsin,2014,397,5610210.0,22,51
52,Wyoming,2014,63,579446.0,0,0
1,Alabama,2015,34,1252146.0,3,10
2,Alaska,2015,33,734820.0,4,8
3,Arizona,2015,101,6622880.0,21,276
4,Arkansas,2015,279,2754543.0,4,5
5,California,2015,730,39137326.0,213,837
6,Colorado,2015,234,5445853.0,42,107
7,Connecticut,2015,95,3399068.0,44,93
8,Delaware,2015,60,945934.0,7,11
9,District of Columbia,2015,2,672228.0,2,65
10,Florida,2015,38,5356877.0,36,72
11,Georgia,2015,473,7991234.0,7,44
12,Idaho,2015,112,1654475.0,19,34
13,Illinois,2015,741,12501008.0,43,90
14,Indiana,2015,168,3224755.0,18,63
15,Iowa,2015,237,3105094.0,5,6
16,Kansas,2015,345,2741323.0,34,62
17,Kentucky,2015,403,4402368.0,83,188
18,Louisiana,2015,148,3711824.0,15,38
19,Maine,2015,184,1329328.0,14,38
20,Maryland,2015,154,6006401.0,11,41
21,Massachusetts,2015,342,6566279.0,85,411
22,Michigan,2015,617,9834270.0,127,309
23,Minnesota,2015,319,5218435.0,27,109
24,Mississippi,2015,43,763830.0,0,0
25,Missouri,2015,628,6079483.0,28,100
26,Montana,2015,101,1023807.0,13,45
27,Nebraska,2015,227,1821196.0,3,19
28,Nevada,2015,53,2890845.0,6,58
29,New Hampshire,2015,168,1267715.0,9,13
30,New Jersey,2015,508,8956395.0,123,330
31,New Mexico,2015,18,574972.0,2,13
32,New York,2015,575,19766342.0,60,500
33,North Carolina,2015,532,10041690.0,52,161
34,North Dakota,2015,112,756927.0,19,36
35,Ohio,2015,595,9781677.0,109,416
36,Oklahoma,2015,351,3896985.0,29,37
37,Oregon,2015,130,1671416.0,16,65
38,Pennsylvania,2015,1436,12550581.0,26,64
39,Rhode Island,2015,49,1056298.0,8,18
40,South Carolina,2015,436,4826241.0,40,55
41,South Dakota,2015,121,782152.0,9,16
42,Tennessee,2015,463,6600299.0,61,221
43,Texas,2015,1026,27390337.0,62,191
44,Utah,2015,133,2966781.0,22,47
45,Vermont,2015,90,626042.0,5,8
46,Virginia,2015,414,8380278.0,58,158
47,Washington,2015,256,7163444.0,79,275
48,West Virginia,2015,229,1494503.0,12,41
49,Wisconsin,2015,395,5580752.0,25,43
50,Wyoming,2015,57,564577.0,1,2
